Series_Title,Released_Year,Certificate,Meta_score,Gross
La règle du jeu,2014,N/A,N/A,N/A
The Thin Man,1934,TV-PG,86,N/A
Dil Bechara,2020,Not Rated,N/A,N/A
Jab We Met,2007,Not Rated,N/A,N/A
The Man from Earth,2007,Not Rated,N/A,N/A
C.R.A.Z.Y.,2005,Not Rated,81,N/A
Gegen die Wand: Making of,2004,N/A,N/A,N/A
Amarcord,1973,R,N/A,"$125,493"
Harold and Maude,1971,PG,62,N/A
Night of the Living Dead,1968,R,89,"$236,452"
The Lion in Winter,1968,PG,N/A,"$18,177"
The Manchurian Candidate,2004,R,76,"$65,955,630"
L'Avventura,1960,Not Rated,N/A,N/A
Hiroshima Mon Amour,1959,Not Rated,N/A,"$96,439"
The Ten Commandments,1956,G,N/A,"$65,500,000"
The Searchers,1956,Approved,94,N/A
East of Eden,1955,PG,72,N/A
Harvey,1950,Approved,79,N/A
Miracle on 34th Street,1947,Approved,88,N/A
The Big Sleep,1946,Approved,86,"$25,556"
The Lost Weekend,1945,Approved,N/A,N/A
The Philadelphia Story,1940,Approved,96,"$404,524"
His Girl Friday,1940,Approved,N/A,"$296,000"
A Night at the Opera,1935,Approved,N/A,"$2,537,520"
Freaks,1932,Not Rated,80,N/A
Nosferatu,2024,R,78,"$95,608,235"
The Gentlemen,2019,R,51,"$36,471,795"
Raazi,2018,Not Rated,N/A,N/A
Sound of Metal,2019,R,82,N/A
Udta Punjab,2016,Not Rated,N/A,N/A
M.S. Dhoni: The Untold Story,2016,Not Rated,N/A,"$1,801,550"
Pride,2014,R,79,"$1,446,634"
La grande bellezza,2011–,N/A,N/A,
Vicky Donor,2012,Not Rated,N/A,"$549,001"
English Vinglish,2012,Not Rated,N/A,"$1,862,086"
Kokuhaku,2015,N/A,N/A,N/A
The Trial of the Chicago 7,2020,R,76,N/A
Druk,2010,N/A,N/A,N/A
Auf der anderen Seite ist das Gras viel grüner,2017,N/A,N/A,N/A
Möte med ondskan,2002,N/A,N/A,N/A
Naked,1993,Not Rated,85,"$1,769,305"
Batman: Mask of the Phantasm,1993,PG,65,"$5,635,204"
Days of Heaven,1978,PG,94,"$3,446,749"
The Man Who Would Be King,1975,PG,91,N/A
Badlands,1973,PG,94,N/A
Wait Until Dark,1967,Approved,81,N/A
Guess Who's Coming to Dinner,1967,Approved,63,"$56,666,667"
Bonnie and Clyde,1967,R,86,N/A
À bout de souffle,2019,N/A,N/A,N/A
Red River,1948,Approved,96,N/A
Key Largo,1948,Approved,74,"$7,017,420"
To Have and Have Not,1944,Approved,90,N/A
Shadow of a Doubt,1943,PG,94,N/A
Stagecoach,1939,Approved,93,N/A
The Lady Vanishes,1938,Approved,98,N/A
Bringing Up Baby,1938,Approved,91,N/A
Bride of Frankenstein,1935,Approved,95,N/A
Duck Soup,1933,Approved,93,N/A
Frankenstein,1931,Approved,91,N/A
Roma,2018,R,96,N/A
God's Own Country,2017,Not Rated,85,"$335,609"
The Broken Circle Breakdown,2012,Not Rated,70,"$175,058"
Rockstar,2011,Not Rated,N/A,"$986,697"
Detachment,2011,Not Rated,52,"$72,689"
Beasts of No Nation,2015,TV-MA,79,"$90,777"
Toki o kakeru shôjo,1997,N/A,N/A,N/A
This Is England,2006,Not Rated,86,"$329,379"
Happiness,1998,NC-17,81,"$2,982,011"
Abre los Ojos,2017,N/A,N/A,N/A
Hamlet,1996,PG-13,N/A,"$4,708,156"
Spoorloos,2018–2022,N/A,N/A,
Zelig,1983,PG,N/A,"$11,798,616"
Love and Death,1975,PG,89,"$20,123,742"
The Taking of Pelham One Two Three,1974,R,68,N/A
Where Eagles Dare,1968,M,63,"$7,100,000"
The Dirty Dozen,1967,Approved,73,N/A
Belle de Jour,1967,Approved,N/A,"$4,063,348"
Repulsion,1965,Not Rated,91,N/A
Zulu,1964,Approved,77,N/A
Cape Fear,1991,R,73,"$79,091,969"
Peeping Tom,1960,Not Rated,N/A,"$36,598"
European Horror: Les Yeux Sans Visage aka Eyes Without A Face (1960),1960,N/A,N/A,N/A
Invasion of the Body Snatchers,1978,PG,75,"$24,946,533"
Rebel Without a Cause,1955,PG-13,89,"$212,780"
The Ladykillers,2004,R,56,"$39,799,191"
Sabrina,1954,Approved,72,N/A
The Quiet Man,1952,Approved,85,"$10,550,000"
The Day the Earth Stood Still,2008,PG-13,40,"$79,366,978"
Gilda,1946,Approved,N/A,N/A
The Invisible Man,2020,R,72,"$70,410,000"
Dark Waters,2019,PG-13,73,"$11,136,084"
Just Mercy,2019,PG-13,68,"$36,001,502"
Victoria,2015,Not Rated,77,N/A
